Type;Modulus;Size;Skip Values;Skip Type;Result
Stripes;3;97;10;original;1
Stripes;19;41;2,3,4,5,6,7,8;original;1
Circles;14;16;5,10,15;original;1
Circles;4;55;1,2;original;0
Circles;11;11;3,6,9,12,15,18;v2;1
Stripes;14;12;5,10,15;original;1
Stripes;15;4;2,3,4,5,6,7,8;original;1
Circles;3;3;5,10,15,20;v2;1
Circles;21;21;3,6,9,12,15,18,21;v2;1
Circles;7;60;1,2,3,4,5,6,7;original;0
Circles;21;65;2,3,4,5,6,7,8;original;0
Stripes;24;24;1,2,3,4,5,6,7,8;original;1
Circles;27;27;5,10,15,20,25,30;v2;1
Circles;17;17;1,2,3;v2;0
Squares;12;12;10;v2;0
Curves;23;23;2,3,4,5,6,7,8;v2;1
Curves;2;2;5,10,15,20,25,30,35;v2;0
Squares;14;14;3,6,9,12,15,18,21;v2;1
Stripes;28;28;2,3,4,5,6,7,8;v2;1
Squares;26;22;5,10,15,20,25,30;original;1
Curves;10;10;10,20,30,40,50;v2;0
Squares;4;4;2,4,6,8,10;v2;0
Curves;12;27;3,6,9,12,15,18;original;1
Curves;11;31;2,4;original;0
Curves;2;2;2,4;v2;0
Stripes;7;93;10,20;original;1
Curves;6;6;2,4,6,8,10;v2;1
Circles;21;21;1,2;v2;2
Stripes;11;11;2,4,6,8,10,12,14;v2;0
Stripes;13;60;5,10,15,20,25;original;1
Stripes;3;3;5,10;v2;1
Stripes;10;10;3,6,9;v2;1
Squares;4;4;2,3,4,5,6,7,8;v2;1
Squares;15;15;2,3,4,5,6,7,8;v2;1
Circles;17;22;2,3,4,5,6,7,8;original;0
Curves;16;39;5,10,15;original;1
Squares;20;20;1,2,3,4,5,6;v2;1
Squares;22;49;10,20,30,40,50,60,70;original;1
Circles;28;44;2,4,6,8,10,12;original;0
Squares;23;55;10,20,30,40;original;1
Curves;16;78;3,6;original;0
Circles;19;60;5,10,15;original;0
Squares;13;94;3,6,9,12;original;1
Circles;17;73;1,2,3,4;original;0
Curves;3;67;1,2,3,4,5;original;1
Curves;28;28;2,4,6,8,10;v2;1
Stripes;18;7;2,4,6,8;original;0
Curves;3;50;1,2,3,4,5,6,7,8;original;1
Squares;13;13;2,4,6;v2;0
Stripes;8;8;3;v2;0
Curves;18;23;2,4,6,8,10,12;original;0
Curves;21;2;10,20,30,40;original;0
Stripes;14;82;10,20,30;original;0
Stripes;11;12;10,20,30,40,50,60;original;1
Stripes;14;68;10;original;1
Circles;24;18;1,2,3,4,5,6;original;0
Squares;4;96;5;original;1
Squares;6;54;2,3,4,5,6,7,8;original;1
Circles;28;28;1,2,3,4,5,6;v2;1
Squares;19;43;2,3,4,5,6,7,8;original;1
Squares;21;78;3;original;1
Circles;11;11;3,6;v2;0
Circles;14;14;5;v2;0
Circles;28;90;1,2,3;original;0
Circles;27;97;2,3,4,5,6,7,8;original;0
Curves;25;23;10,20,30,40,50,60,70;original;1
Squares;29;29;2,4,6,8;v2;0
Curves;2;37;3,6,9,12;original;1
Squares;12;38;10,20;original;1
Curves;24;24;5,10;v2;0
Squares;24;24;2,4,6,8;v2;0
Squares;11;11;10;v2;0
Curves;9;10;10,20,30,40,50;original;0
Squares;29;29;2;v2;0
Curves;17;38;1,2,3,4,5,6,7,8;original;0
Curves;5;5;1;v2;2
Curves;10;29;5,10,15,20;original;1
Stripes;23;2;5,10,15,20,25,30,35,40;original;1
Circles;7;3;10,20,30,40,50,60,70,80;original;1
Squares;3;36;2,4,6,8,10,12;original;1
Squares;21;18;3,6;original;1
Circles;6;6;10,20,30,40,50;v2;1
Circles;22;22;5,10,15,20;v2;1
Squares;20;80;3,6,9;original;1
Circles;5;5;2,3,4,5,6,7,8;v2;1
Circles;11;38;1,2,3,4,5;original;0
Circles;12;77;1;original;0
Circles;13;13;1,2,3;v2;0
Curves;2;11;5,10,15,20,25,30,35;original;1
Stripes;3;69;3,6,9,12,15,18;original;1
Curves;12;36;3;original;1
Curves;18;18;2,3,4,5,6,7,8;v2;1
Squares;4;4;2;v2;2
Curves;19;19;1,2,3,4,5;v2;1
Stripes;20;20;1,2,3,4;v2;1
Circles;13;13;2,4;v2;0
Squares;20;20;5,10,15;v2;0
Curves;13;13;2,4;v2;0
Curves;26;26;5,10,15,20,25,30,35,40;v2;1
Curves;7;3;1,2,3;original;1
Curves;17;17;2,3,4,5,6,7,8;v2;0
Stripes;8;8;10,20,30;v2;0
Stripes;28;28;2,4;v2;0
Squares;3;58;10,20,30,40,50;original;1
Circles;14;2;5;original;1
Curves;2;98;10,20;original;1
Stripes;25;78;3;original;1
Squares;8;8;10,20,30,40,50,60;v2;1
Circles;16;16;5,10,15;v2;1
Circles;6;20;3;original;1
Stripes;26;26;3,6,9;v2;1
Circles;25;25;2,4,6,8,10;v2;1
Squares;24;21;2,4;original;1
Squares;8;8;5,10;v2;1
Stripes;5;5;1,2,3,4;v2;1
Squares;18;18;1,2,3,4,5,6,7,8;v2;1
Squares;19;68;2,4,6,8,10;original;1
Circles;24;99;2,3,4,5,6,7,8;original;0
Curves;21;21;5,10,15,20;v2;1
Curves;15;15;5,10,15,20,25,30,35;v2;1
Squares;28;34;1,2,3,4,5;original;1
Squares;11;11;2,4,6,8,10,12,14,16;v2;1
Curves;29;22;2,4,6,8,10,12;original;1
Stripes;22;35;2,4,6,8,10,12,14,16;original;1
Curves;29;26;5,10;original;1
Squares;6;84;2,4,6,8,10,12,14;original;1
Curves;18;99;10;original;0
Stripes;4;97;5,10;original;1
Curves;6;6;5,10,15,20,25;v2;1
Curves;28;28;2,3,4,5,6,7,8;v2;1
Stripes;6;6;10,20,30,40,50,60;v2;0
Stripes;29;86;2,3,4,5,6,7,8;original;0
Stripes;5;66;10,20,30;original;1
Stripes;2;6;5,10,15,20,25;original;1
Circles;28;28;2,4,6,8,10;v2;1
Circles;6;6;3,6,9;v2;1
Circles;22;22;2,4,6,8,10,12,14;v2;1
Squares;25;25;3,6,9,12;v2;1
Circles;4;4;1,2,3,4,5,6;v2;1
Circles;9;45;5,10,15,20;original;0
Circles;2;2;2,4;v2;1
Circles;4;4;1,2,3;v2;1
Circles;12;64;2,3,4,5,6,7,8;original;0
Circles;24;81;3,6,9;original;0
Stripes;13;86;3,6,9,12,15,18;original;1
Stripes;19;94;1,2,3,4,5,6,7;original;1
Stripes;20;82;5,10,15,20;original;0
Stripes;28;77;2,4,6,8;original;1
Curves;19;94;2,3,4,5,6,7,8;original;0
Stripes;7;7;3,6,9,12,15,18,21,24;v2;0
Squares;18;61;2,3,4,5,6,7,8;original;1
Stripes;23;23;1,2,3;v2;0
Curves;7;7;2,3,4,5,6,7,8;v2;0
Curves;27;62;1,2,3,4,5,6,7;original;0
Curves;5;81;5;original;0
Curves;14;62;10,20,30,40,50,60,70,80;original;0
Squares;3;3;1,2;v2;0
Squares;24;24;2;v2;2
Stripes;25;25;5,10,15,20,25,30,35,40;v2;0
Curves;19;19;5,10,15,20,25,30;v2;0
Squares;9;7;2,4,6;original;1
Squares;2;58;5;original;1
Squares;15;85;2,4,6;original;1
Stripes;13;52;5,10;original;1
Circles;4;19;10,20,30,40,50,60,70,80;original;1
Curves;25;25;5,10,15,20;v2;1
Curves;28;28;2,4,6,8,10;v2;1
Squares;26;26;3,6,9;v2;1
Curves;13;13;1,2,3,4;v2;1
Circles;12;46;10,20,30;original;0
Circles;23;41;1;original;0
Circles;16;67;5,10,15;original;0
Circles;14;14;5;v2;0
Stripes;6;10;1,2,3,4,5,6,7;original;1
Stripes;26;26;3,6,9,12,15,18,21;original;1
Stripes;25;66;1,2,3;original;1
Stripes;6;6;3;v2;1
Squares;10;28;2,3,4,5,6,7,8;original;0
Squares;15;15;3;v2;0
Stripes;16;16;2,4;v2;0
Curves;20;82;3,6,9,12,15,18,21,24;original;0
Squares;16;61;5;original;0
Curves;22;60;3,6,9,12,15,18,21,24;original;0
Curves;6;49;5,10,15,20;original;0
Curves;17;17;10;v2;0
Stripes;2;14;2,3,4,5,6,7,8;original;1
Stripes;20;15;1,2,3,4,5;original;1
Circles;23;23;5,10,15,20,25;v2;1
Squares;9;9;3,6,9,12,15;v2;1
Circles;11;11;2,3,4,5,6,7,8;v2;1
Stripes;25;25;10,20,30,40,50;v2;1
Circles;28;28;5,10,15,20,25;v2;1
Stripes;21;79;10,20,30,40,50,60;original;1
Squares;17;17;2,4,6,8,10;v2;1
Circles;4;4;5;v2;1
Circles;7;57;5,10,15,20,25;original;0
Squares;17;79;10,20,30,40;original;1
Circles;23;76;10,20,30,40,50,60,70;original;0
Curves;10;10;5,10,15,20,25;v2;1
Squares;29;3;2,3,4,5,6,7,8;original;1
Circles;14;99;2,4,6;original;0
Curves;4;26;2,4,6,8,10,12,14,16;original;1
Curves;22;22;5,10,15,20,25;v2;1
Squares;24;36;2,3,4,5,6,7,8;original;1
Stripes;11;11;1,2;original;1
Squares;17;17;10,20;v2;0
Curves;21;21;2,3,4,5,6,7,8;v2;0
Stripes;20;20;10,20,30;v2;0
Curves;26;25;10;original;0
Curves;17;67;2,3,4,5,6,7,8;original;0
